time,corridor,hs6,desc,value_usd
2023-01,CN->BR,392340,,52797
2023-01,CN->BR,392350,,1283867
2023-01,CN->BR,392390,,924650.0
2023-01,CN->BR,392410,,3512540
2023-01,CN->BR,392490,,3229449
2023-01,CN->BR,392510,,2200
2023-01,CN->BR,392520,,1104481
2023-01,CN->BR,392530,,147730
2023-01,CN->BR,392590,,359052.0
2023-01,CN->BR,392610,,153176
2023-01,CN->BR,392620,,2846036
2023-01,CN->BR,392630,,1316653
2023-01,CN->BR,392640,,784571
2023-01,CN->BR,392690,,13455648.0
2023-01,CN->BR,400129,,95
2023-01,CN->BR,400211,,80
2023-01,CN->BR,400219,,324101.0
2023-01,CN->BR,400220,,16570
2023-01,CN->BR,400231,,166785
2023-01,CN->BR,400249,,783371
2023-01,CN->BR,400259,,71053
2023-01,CN->BR,400270,,1301
2023-01,CN->BR,400291,,236
2023-01,CN->BR,400299,,293756.0
2023-01,CN->BR,400300,,116398
